id,ime,leto,zmage doma,porazi doma,zmage v gosteh,porazi v gosteh,zmage nevtralno,porazi nevtralno,zmage <= 3,porazi <= 3,zmage >= 10,porazi >= 10
BOS,Boston Celtics,1980,35,6,26,15,,,8,7,34,5
LAL,Los Angeles Lakers,1980,37,4,23,18,,,11,5,29,6
PHI,Philadelphia 76ers,1980,36,5,23,18,,,17,3,24,8
SEA,Seattle SuperSonics,1980,33,8,23,18,,,10,6,25,7
PHO,Phoenix Suns,1980,37,5,18,22,,,10,4,27,12
ATL,Atlanta Hawks,1980,32,9,18,23,,,8,11,19,11
MIL,Milwaukee Bucks,1980,28,12,21,21,,,13,10,23,12
KCK,Kansas City Kings,1980,30,11,17,24,,,10,11,22,9
HOU,Houston Rockets,1980,29,12,12,29,,,15,7,17,16
SAS,San Antonio Spurs,1980,27,14,14,27,,,7,7,13,13
WSB,Washington Bullets,1980,24,17,15,26,,,11,9,10,24
NYK,New York Knicks,1980,25,16,14,27,,,6,10,13,21
POR,Portland Trail Blazers,1980,26,15,12,29,,,11,9,16,16
CLE,Cleveland Cavaliers,1980,28,13,9,32,,,8,13,18,15
IND,Indiana Pacers,1980,26,15,11,30,,,8,6,16,17
SDC,San Diego Clippers,1980,24,17,11,30,,,5,12,14,27
NJN,New Jersey Nets,1980,22,19,12,29,,,5,12,16,17
CHI,Chicago Bulls,1980,21,20,9,32,,,7,9,7,20
DEN,Denver Nuggets,1980,24,17,6,35,,,5,7,12,28
GSW,Golden State Warriors,1980,15,26,9,32,,,2,14,13,22
UTA,Utah Jazz,1980,17,24,7,34,,,6,6,8,35
DET,Detroit Pistons,1980,13,28,3,38,,,4,9,6,41
BOS,Boston Celtics,1981,35,6,27,14,,,11,6,29,9
PHI,Philadelphia 76ers,1981,37,4,25,16,,,8,5,38,7
MIL,Milwaukee Bucks,1981,34,7,26,15,,,7,5,36,9
PHO,Phoenix Suns,1981,36,5,21,20,,,9,4,36,10
LAL,Los Angeles Lakers,1981,30,11,24,17,,,9,9,19,9
SAS,San Antonio Spurs,1981,34,7,18,23,,,14,4,21,16
NYK,New York Knicks,1981,28,13,22,19,,,17,5,19,13
CHI,Chicago Bulls,1981,26,15,19,22,,,7,7,26,15
POR,Portland Trail Blazers,1981,30,11,15,26,,,10,8,16,17
IND,Indiana Pacers,1981,27,14,17,24,,,6,13,17,15
HOU,Houston Rockets,1981,25,16,15,26,,,12,14,13,13
KCK,Kansas City Kings,1981,24,17,16,25,,,11,10,13,16
GSW,Golden State Warriors,1981,26,15,13,28,,,10,13,9,14
WSB,Washington Bullets,1981,26,15,13,28,,,3,8,28,23
DEN,Denver Nuggets,1981,23,18,14,27,,,11,14,16,13
SDC,San Diego Clippers,1981,22,19,14,27,,,5,10,20,25
SEA,Seattle SuperSonics,1981,22,19,12,29,,,10,9,11,20
ATL,Atlanta Hawks,1981,20,21,11,30,,,7,18,9,18
CLE,Cleveland Cavaliers,1981,20,21,8,33,,,7,9,12,27
UTA,Utah Jazz,1981,20,21,8,33,,,11,6,7,31
NJN,New Jersey Nets,1981,16,25,8,33,,,9,8,9,32
DET,Detroit Pistons,1981,14,27,7,34,,,8,13,6,27
DAL,Dallas Mavericks,1981,11,30,4,37,,,4,8,4,35
BOS,Boston Celtics,1982,35,6,28,13,,,13,4,29,8
PHI,Philadelphia 76ers,1982,32,9,26,15,,,9,7,27,5
LAL,Los Angeles Lakers,1982,30,11,27,14,,,13,7,27,6
MIL,Milwaukee Bucks,1982,31,10,24,17,,,6,9,30,8
SEA,Seattle SuperSonics,1982,31,10,21,20,,,12,8,26,11
SAS,San Antonio Spurs,1982,29,12,19,22,,,4,3,24,15
DEN,Denver Nuggets,1982,29,12,17,24,,,7,5,22,16
HOU,Houston Rockets,1982,25,16,21,20,,,14,10,15,16
PHO,Phoenix Suns,1982,31,10,15,26,,,9,9,24,10
GSW,Golden State Warriors,1982,28,13,17,24,,,10,7,19,18
NJN,New Jersey Nets,1982,25,16,19,22,,,6,8,21,19
WSB,Washington Bullets,1982,22,19,21,20,,,10,10,17,11
ATL,Atlanta Hawks,1982,24,17,18,23,,,7,9,20,11
POR,Portland Trail Blazers,1982,27,14,15,26,,,6,9,19,16
DET,Detroit Pistons,1982,23,18,16,25,,,8,8,12,19
IND,Indiana Pacers,1982,25,16,10,31,,,10,6,12,20
CHI,Chicago Bulls,1982,22,19,12,29,,,7,15,14,22
NYK,New York Knicks,1982,19,22,14,27,,,9,12,13,21
