id,ime,leto,odigrane minute,meti 3 točke,poskusi 3 točke,meti 2 točki,poskusi 2 točki,prosti meti,poskusi prostih metov,skoki v napadu,skoki v obrambi,asistence,ukradene žoge,blokade,izgubljene žoge,osebni prekrški
SAS,San Antonio Spurs,1980,19755,52,206,3804,7532,2024,2528,1153,2515,2326,771,333,1589,2103
LAL,Los Angeles Lakers,1980,19880,20,100,3878,7268,1622,2092,1085,2653,2413,774,546,1639,1784
CLE,Cleveland Cavaliers,1980,19930,36,187,3775,7854,1702,2205,1307,2381,2108,764,342,1370,1934
NYK,New York Knicks,1980,19780,42,191,3760,7481,1698,2274,1236,2303,2265,881,457,1613,2168
BOS,Boston Celtics,1980,19880,162,422,3455,6965,1907,2449,1227,2457,2198,809,308,1539,1974
IND,Indiana Pacers,1980,19855,88,314,3551,7375,1753,2333,1398,2326,2148,900,530,1517,1973
PHO,Phoenix Suns,1980,19755,68,280,3502,6955,1906,2466,1071,2458,2283,908,344,1629,1853
HOU,Houston Rockets,1980,19930,104,379,3495,7117,1782,2326,1394,2217,2149,782,373,1565,1927
MIL,Milwaukee Bucks,1980,19805,50,155,3635,7398,1605,2102,1245,2396,2277,778,510,1496,1937
PHI,Philadelphia 76ers,1980,19855,27,125,3496,7031,1876,2431,1187,2635,2226,792,652,1708,1860
DET,Detroit Pistons,1980,19780,57,219,3586,7377,1590,2149,1226,2415,1950,783,562,1742,2069
SEA,Seattle SuperSonics,1980,19830,59,189,3495,7376,1730,2253,1380,2550,2043,750,428,1496,1865
NJN,New Jersey Nets,1980,19805,85,298,3371,7206,1882,2406,1229,2535,2094,869,581,1702,2181
DEN,Denver Nuggets,1980,19830,83,255,3379,7215,1871,2539,1311,2524,2079,746,404,1533,1917
KCK,Kansas City Kings,1980,19805,25,114,3557,7375,1671,2250,1187,2429,2123,863,356,1439,2135
SDC,San Diego Clippers,1980,19755,177,543,3347,6951,1595,2167,1294,2308,1688,664,288,1443,1896
CHI,Chicago Bulls,1980,19905,70,275,3292,6668,2019,2592,1115,2465,2152,704,392,1684,2146
WSB,Washington Bullets,1980,19880,73,238,3501,7558,1552,2048,1334,2723,2201,530,443,1380,1893
ATL,Atlanta Hawks,1980,19780,13,75,3248,6952,2038,2645,1369,2406,1913,782,539,1495,2293
GSW,Golden State Warriors,1980,19880,27,121,3500,7197,1412,1914,1155,2437,2028,779,339,1492,2082
POR,Portland Trail Blazers,1980,19780,26,132,3382,7035,1560,2100,1295,2408,1898,708,472,1552,1956
UTA,Utah Jazz,1980,19805,59,185,3323,6632,1571,1943,967,2359,2005,656,362,1543,2006
DEN,Denver Nuggets,1981,19955,30,145,3754,7815,2388,3051,1325,2497,2030,720,380,1444,2108
MIL,Milwaukee Bucks,1981,19755,30,131,3692,7341,1802,2340,1261,2408,2319,862,530,1581,2198
SAS,San Antonio Spurs,1981,19805,15,85,3556,7191,2052,2668,1304,2582,2048,685,643,1533,2114
PHI,Philadelphia 76ers,1981,19855,19,84,3617,6989,1865,2427,1091,2618,2369,857,591,1702,2061
LAL,Los Angeles Lakers,1981,19805,17,94,3763,7288,1540,2113,1165,2491,2363,808,551,1557,1955
POR,Portland Trail Blazers,1981,19855,25,148,3716,7387,1573,2191,1243,2388,2244,769,480,1518,2034
PHO,Phoenix Suns,1981,19755,35,161,3552,7165,1810,2430,1234,2490,2205,876,416,1733,1996
BOS,Boston Celtics,1981,19780,65,241,3516,6858,1781,2369,1155,2424,2202,683,594,1577,1990
GSW,Golden State Warriors,1981,19730,60,210,3500,7074,1826,2513,1403,2366,2026,611,301,1547,2158
CHI,Chicago Bulls,1981,19780,38,179,3419,6724,1985,2563,1227,2475,1925,729,514,1672,2058
HOU,Houston Rockets,1981,19805,21,118,3552,7217,1711,2223,1216,2347,2099,705,390,1451,1901
NYK,New York Knicks,1981,19830,56,236,3449,7019,1783,2386,1137,2205,1976,861,314,1461,1917
IND,Indiana Pacers,1981,19730,30,169,3461,7076,1815,2540,1325,2267,2091,833,484,1491,2006
KCK,Kansas City Kings,1981,19830,49,168,3523,6983,1576,2206,1037,2450,2271,719,385,1448,2092
NJN,New Jersey Nets,1981,19805,34,138,3443,7176,1780,2371,1092,2374,2068,750,458,1664,2204
SDC,San Diego Clippers,1981,19730,132,407,3345,6876,1651,2246,1169,2144,2098,764,292,1407,2078
CLE,Cleveland Cavaliers,1981,19780,72,249,3484,7360,1486,1909,1258,2243,2007,632,322,1396,1995
WSB,Washington Bullets,1981,19780,65,241,3484,7276,1499,2072,1155,2533,2151,641,392,1422,1895
ATL,Atlanta Hawks,1981,19930,10,82,3281,6784,2012,2590,1201,2224,1846,749,469,1605,2276
SEA,Seattle SuperSonics,1981,19780,32,117,3311,7028,1813,2376,1167,2434,1945,628,438,1524,1986
DAL,Dallas Mavericks,1981,19780,46,165,3158,6763,1868,2487,1109,2177,1984,561,214,1439,2008
UTA,Utah Jazz,1981,19730,42,163,3290,6662,1595,2080,962,2325,1948,637,386,1423,2110
DET,Detroit Pistons,1981,19755,13,84,3223,6902,1689,2330,1201,2111,1819,884,492,1759,2125
DEN,Denver Nuggets,1982,19830,40,149,3940,7507,2371,2978,1149,2443,2272,664,368,1470,2131
LAL,Los Angeles Lakers,1982,19855,13,94,3906,7491,1549,2161,1258,2505,2356,848,517,1468,1999
SAS,San Antonio Spurs,1982,19755,64,252,3634,7361,1812,2335,1253,2537,2257,600,555,1293,2217
BOS,Boston Celtics,1982,19780,49,184,3608,7150,1817,2457,1253,2489,2126,652,568,1452,2014
PHI,Philadelphia 76ers,1982,19855,41,139,3575,6835,1846,2471,1031,2389,2264,856,622,1474,2183
DET,Detroit Pistons,1982,19830,52,213,3509,7178,1938,2581,1298,2345,2027,741,564,1629,2160
UTA,Utah Jazz,1982,19780,22,97,3657,7349,1714,2282,1147,2362,1895,700,357,1435,2196
GSW,Golden State Warriors,1982,19780,91,325,3555,7024,1709,2382,1282,2452,1820,685,390,1424,2225
POR,Portland Trail Blazers,1982,19780,29,140,3600,7047,1719,2387,1142,2355,2054,706,367,1390,2012
SDC,San Diego Clippers,1982,19755,99,338,3453,6763,1693,2341,1131,2196,1878,636,299,1570,2353
MIL,Milwaukee Bucks,1982,19805,49,164,3495,6851,1753,2329,1167,2415,2233,763,455,1589,2281
SEA,Seattle SuperSonics,1982,19830,38,153,3467,7025,1747,2362,1103,2544,2103,691,460,1351,2057
KCK,Kansas City Kings,1982,19880,26,130,3578,7154,1551,2158,1086,2276,2056,743,402,1507,2359
NJN,New Jersey Nets,1982,19780,30,146,3471,7081,1714,2354,1194,2320,2096,918,481,1650,2295
CHI,Chicago Bulls,1982,19880,54,213,3315,6515,1951,2545,1125,2525,2043,580,483,1636,2008
NYK,New York Knicks,1982,19830,58,214,3465,6964,1603,2171,1168,2273,2075,719,337,1486,2195
PHO,Phoenix Suns,1982,19830,54,174,3454,6966,1635,2157,1123,2517,2223,753,429,1528,2029
HOU,Houston Rockets,1982,19780,50,176,3454,7190,1622,2225,1403,2284,1977,648,430,1321,1871
DAL,Dallas Mavericks,1982,19730,55,190,3335,7034,1740,2366,1213,2228,2117,566,313,1317,2193
WSB,Washington Bullets,1982,19830,59,236,3341,6932,1626,2105,1047,2583,1983,643,397,1390,2072
CLE,Cleveland Cavaliers,1982,19805,25,137,3380,7197,1628,2179,1190,2170,1871,634,357,1319,2193
IND,Indiana Pacers,1982,19830,103,316,3229,6848,1612,2176,1141,2372,1897,753,494,1393,2041
ATL,Atlanta Hawks,1982,19880,28,128,3182,6648,1833,2387,1135,2368,1815,608,485,1343,2268
DEN,Denver Nuggets,1983,19730,24,126,3927,7873,2179,2696,1214,2524,2336,789,352,1496,2091
LAL,Los Angeles Lakers,1983,19730,10,96,3954,7416,1495,2031,1235,2433,2519,844,479,1584,1931
SAS,San Antonio Spurs,1983,19780,94,308,3603,7032,1887,2468,1232,2599,2261,675,469,1504,2095
KCK,Kansas City Kings,1983,19780,51,215,3668,7270,1839,2530,1256,2407,2155,765,409,1691,2432
DAL,Dallas Mavericks,1983,19730,43,185,3631,7365,1852,2462,1296,2381,2227,552,348,1348,2067
DET,Detroit Pistons,1983,19880,72,272,3551,7330,1921,2588,1312,2477,2108,679,572,1557,2122
BOS,Boston Celtics,1983,19830,39,186,3672,7361,1730,2348,1273,2532,2216,789,521,1541,2062
PHI,Philadelphia 76ers,1983,19830,25,109,3575,7103,1966,2650,1334,2596,2016,812,577,1627,2041
CHI,Chicago Bulls,1983,19905,45,209,3492,7164,1983,2690,1267,2527,2086,666,400,1743,2192
SEA,Seattle SuperSonics,1983,19805,29,138,3568,7139,1796,2459,1152,2569,2278,677,437,1533,1969
UTA,Utah Jazz,1983,19755,44,183,3481,7159,1844,2440,1093,2550,2176,758,595,1683,2017
IND,Indiana Pacers,1983,19830,50,236,3657,7487,1447,1910,1299,2294,2150,755,411,1535,2086
GSW,Golden State Warriors,1983,19780,34,150,3593,7358,1620,2199,1281,2284,1964,856,430,1606,2138
SDC,San Diego Clippers,1983,19830,64,262,3561,7372,1589,2195,1394,2108,2087,820,408,1600,2284
POR,Portland Trail Blazers,1983,19755,35,150,3424,6974,1855,2512,1180,2380,2030,749,384,1495,1960
PHO,Phoenix Suns,1983,19730,40,158,3515,7000,1626,2189,1094,2518,2300,749,495,1545,2062
MIL,Milwaukee Bucks,1983,19830,37,169,3449,6964,1731,2299,1095,2477,2116,662,532,1447,2131
